Dataset,Suite,Task,Molecules,Train,Test,Split,Target scale,Ranking metric,Best model,Best value
polaris_adme_fang_perm_1,Polaris,regression,2642,2113,529,predefined,raw,rmse,Uni-Mol V1,0.3990606793974839
polaris_adme_fang_rclint_1,Polaris,regression,3054,2443,611,predefined,raw,rmse,Uni-Mol V1,0.5122971166920043
polaris_adme_fang_rppb_1,Polaris,regression,885,708,177,predefined,raw,rmse,"MapLight + GNN (CatBoost, Strict Parity)",0.4935579399047347
polaris_adme_fang_solu_1,Polaris,regression,2173,1738,435,predefined,raw,rmse,Uni-Mol V1,0.5750967482821963
tdc_caco2_wang,TDC,regression,910,728,182,predefined,raw,rmse,Ensemble (Weighted average (inverse train RMSE)),0.3364933739637883
tdc_clearance_hepatocyte_az,TDC,regression,1213,970,243,predefined,raw,rmse,"MapLight + GNN (CatBoost, Strict Parity)",43.97614474030573
tdc_clearance_microsome_az,TDC,regression,1102,881,221,predefined,raw,rmse,Uni-Mol V1,35.888059718513354
tdc_half_life_obach,TDC,regression,667,532,135,predefined,raw,rmse,Uni-Mol V1,17.222253952148026
tdc_hydrationfreeenergy_freesolv,TDC,regression,642,513,129,target_quartiles,raw,rmse,CFA (Combinatorial Fusion),0.5564249428337948
tdc_ld50_zhu,TDC,regression,7385,5907,1478,predefined,raw,rmse,CFA (Combinatorial Fusion),0.8337746668930903
tdc_lipophilicity_astrazeneca,TDC,regression,4200,3360,840,predefined,raw,rmse,Uni-Mol V1,0.5872156467943753
tdc_ppbr_az,TDC,regression,2790,2231,559,predefined,raw,rmse,Ensemble (Weighted average (inverse train RMSE)),11.014020894332376
tdc_solubility_aqsoldb,TDC,regression,9980,7985,1995,predefined,raw,rmse,Uni-Mol V1,0.9888281816530252
tdc_vdss_lombardo,TDC,regression,1130,904,226,predefined,raw,rmse,"MapLight + GNN (CatBoost, Strict Parity)",4.66807207398872
